Year,Josh's IRA,Amy's IRA,CashNeeded,sdfadsfTotalRMD,sdfadsfAfterTaxRMD,BeforeTaxPortValue,AfterTaxPortValue,sdfadsf's Age,asdfasdf's Age,asdfasdfTotalRMD,asdfasdfAfterTaxRMD
1974,11060580.19966998,2590348.4315383215,5950.578628881014,0,0.0,13650928.6312083,13625025.146892918,50,50,0.0,0.0
1975,15162994.873547873,3292414.019755207,6039.837308314229,0,0.0,18455408.89330308,18422484.75310553,51,51,0.0,0.0
1976,18786336.55191433,4002468.479496561,6130.43486793894,0,0.0,22788805.03141089,22748780.346615925,52,52,0.0,0.0
1977,17485050.26059071,3825301.0998379183,6222.391390958024,0,0.0,21310351.360428628,21272098.34943025,53,53,0.0,0.0
1978,18633327.032555163,3993466.098776328,6315.727261822395,0,0.0,22626793.131331492,22586858.470343728,54,54,0.0,0.0
1979,22094219.19898438,4521895.1015585335,6410.46317074973,0,0.0,26616114.300542913,26570895.34952733,55,55,0.0,0.0
1980,29116924.37274202,5488587.884903305,6506.620118310974,0,0.0,34605512.257645324,34550626.378796294,56,56,0.0,0.0
1981,27758428.927223142,5445500.827131207,6604.219420085638,0,0.0,33203929.75435435,33149474.746083036,57,57,0.0,0.0
1982,33436700.114162106,6762236.606773553,6703.282711386922,0,0.0,40198936.72093566,40131314.35486792,58,58,0.0,0.0
1983,40916458.919665925,7887656.992875587,6803.831952057726,0,0.0,48804115.91254151,48725239.34261276,59,59,0.0,0.0
1984,43442821.14322539,8555032.937376833,6905.889431338591,0,0.0,51997854.08060222,51912303.75122845,60,60,0.0,0.0
1985,57024358.468369,11088510.745794998,7009.47777280867,0,0.0,68112869.214164,68001984.10670605,61,61,0.0,0.0
1986,67578162.34917043,13334089.53228787,7114.619939400798,0,0.0,80912251.8814583,80778910.98613542,62,62,0.0,0.0
1987,71514453.58165723,13680572.005035603,7221.33923849181,0,0.0,85195025.58669284,85058219.86664248,63,63,0.0,0.0
1988,83352944.20406334,15604356.785688484,7329.6593270691865,0,0.0,98957300.98975183,98801257.42189494,64,64,0.0,0.0
1989,109602451.03950247,19873428.588588957,7439.604216975224,0,0.0,129475879.62809142,129277145.34220554,65,65,0.0,0.0
1990,106258616.0376937,19822028.446294278,7551.198280229851,0,0.0,126080644.48398797,125882424.19952503,66,66,0.0,0.0
1991,138390595.6658885,24910701.152515784,7664.466254433298,0,0.0,163301296.81840426,163052189.8068791,67,67,0.0,0.0
1992,148766051.28126353,26918285.818722032,7779.4332482497975,0,0.0,175684337.09998557,175415154.24179834,68,68,0.0,0.0
1993,163608026.5940055,29946343.988626216,7896.124746973544,0,0.0,193554370.5826317,193254907.14274544,69,69,0.0,0.0
1994,165794013.34770578,28399146.6102243,8014.566618178146,0,0.0,194193159.9579301,193909168.49182785,70,70,0.0,0.0
1995,227479386.31305236,36327973.389018446,8134.785117450817,0,0.0,263807359.7020708,263444079.96818063,71,71,1113692.0239303645,1102555.1036910608
1996,279081711.1288526,40550267.69098463,8256.80689421258,0,0.0,319631978.8198372,319226476.1429274,72,72,1476746.885732457,1461979.4168751324
1997,371467757.5125028,49015184.8867103,8380.658997625766,0,0.0,420482942.3992131,419992790.550346,73,73,1710981.7591132754,1693871.9415221426
1998,476751719.99154603,58281482.05185259,8506.368882590152,0,0.0,535033202.0433986,534450387.2228801,74,74,2149788.810820627,2128290.9227124206
1999,576355154.29778,62400083.92371566,8633.964415829003,0,0.0,638755238.2214957,638131237.3822585,75,75,2661254.8882124475,2634642.339330323
2000,524320283.8646905,58679600.11465939,8763.473882066437,0,0.0,582999883.9793499,582413087.9782033,76,76,2971432.567795984,2941718.2421180243
2001,462198330.2267246,52103024.81178039,8894.925990297434,0,0.0,514301355.038505,513780324.7903872,77,77,2904930.6987455143,2875881.391758059
2002,360663357.07591325,44080750.55803191,9028.349880151893,0,0.0,404744107.63394517,404303300.12836486,78,78,2699638.5912839584,2672642.2053711186
2003,462957485.14264226,50063468.65752617,9163.775128354171,0,0.0,513020953.80016845,512520319.11359316,79,79,2382743.2734071305,2358915.840673059
2004,512689119.046962,51466254.64261833,9301.231755279483,0,0.0,564155373.6895803,563640711.1431541,80,80,2828444.5569223827,2800160.111353159
2005,537462003.4969302,50521473.44733257,9440.750231608674,0,0.0,587983476.9442629,587478262.2097895,81,81,3045340.5113975345,3014887.106283559
2006,621369822.242801,52892025.954376176,9582.361485082803,0,0.0,674261848.1971772,673732927.9376334,82,82,3137979.717225625,3106599.920053369
2007,655430888.5017064,52902592.19109964,9726.096907359044,0,0.0,708333480.692806,707804454.770895,83,83,3456995.1604167433,3422425.208812576
2008,415880898.7543327,39691308.511905104,9871.98836096943,0,0.0,455572207.26623785,455175294.1811188,84,84,3648454.633868941,3611970.0875302516
2009,523770403.8912067,42351421.33333119,10020.068186383969,0,0.0,566121825.2245378,565698311.0112046,85,85,2876181.7762250076,2847419.9584627575
2010,601403177.7478836,44260446.0457498,10170.369209179727,0,0.0,645663623.7936333,645221019.3331759,86,86,3232932.9262084877,3200603.596946403
2011,614042644.480589,43346092.993403345,10322.924747317424,0,0.0,657388737.4739923,656955276.5440583,87,87,3569390.810141112,3533696.902039701
2012,711624020.6885546,44516718.22182825,10477.768618527183,0,0.0,756140738.9103829,755695571.7281647,88,88,3704794.272940457,3667746.330211052
2013,940421143.3399249,48651837.91245841,10634.93514780509,0,0.0,989072981.2523834,988586462.8732587,89,89,4046974.3838025685,4006504.639964543
2014,1067576081.9194828,49757929.845061906,10794.459175022166,0,0.0,1117334011.7645447,1116836432.466094,90,90,4678061.337736386,4631280.7243590215
2015,1082105116.6335878,45488313.84781234,10956.376062647498,0,0.0,1127593430.4814003,1127138547.342922,91,91,5077339.780108357,5026566.382307273
2016,1209154257.326371,49330704.28949053,11120.721703587209,0,0.0,1258484961.6158614,1257991654.5729666,92,92,4944381.939979602,4894938.120579805
